Majority Class Accuracy,Accuracy,Precision,Recall,F Score,Support
0.3405642800106468,0.3895395262177269,0.48254872484112854,0.3895395262177269,0.2961644128320217,
0.33877766069546894,0.3940990516332982,0.47100440190690934,0.3940990516332982,0.31415333551319935,
0.33962511469393103,0.375147463625639,0.4643170864375896,0.375147463625639,0.2710565619926605,
0.33421505091919057,0.442137283428118,0.4574469915532654,0.4421372834281179,0.39545742903741116,
0.3356578947368421,0.4411842105263158,0.4523893471149481,0.4411842105263158,0.3885945765173214,
0.33528239202657806,0.41754152823920265,0.47272259301265923,0.41754152823920265,0.3885404879738799,
0.33364324611502194,0.42210120865984857,0.4613335422866191,0.42210120865984857,0.40265418337092074,
0.3256091101694915,0.3834745762711864,0.4687262658332548,0.3834745762711864,0.3427178325662246,
0.33373000132222663,0.4125347084490282,0.43028444686787565,0.4125347084490282,0.36965877501785105,
0.3338204038257173,0.3901434643995749,0.48099002137584684,0.3901434643995749,0.2931443373851961,
