Majority Class Accuracy,Accuracy,Precision,Recall,F Score,Support
0.038593256059009484,0.058482613277133826,0.0947811949287662,0.058482613277133826,0.03764526083122151,
0.037410453701247015,0.06540196338551339,0.06294296232394643,0.06540196338551339,0.036134454334317515,
0.039296110082032286,0.053188674252447735,0.07114572639284572,0.053188674252447735,0.03226726294036643,
0.04091566899092225,0.050388106828048944,0.08939643004900588,0.050388106828048944,0.028802479937329418,
0.03740912095175149,0.06503635161929941,0.06779475366649577,0.06503635161929941,0.034642084614486784,
0.04293028751476959,0.07325718786923986,0.08379594546167339,0.07325718786923986,0.037128605023901855,
0.04229848363926576,0.0538707102952913,0.07263459761667457,0.0538707102952913,0.0306968499442735,
0.04062874650326362,0.06473957639536433,0.07962074524507047,0.06473957639536433,0.03833189084884053,
0.043069175722236945,0.05592366816856613,0.08026557027511834,0.05592366816856613,0.030258760232883892,
0.03894736842105263,0.04802631578947368,0.08667586675821214,0.04802631578947368,0.030598172311803423,
