Majority Class Accuracy,Accuracy,Precision,Recall,F Score,Support
0.01778187565858799,0.02357744994731296,0.045853740592558624,0.02357744994731296,0.01402367162096648,
0.01774364406779661,0.022245762711864406,0.03213029897982481,0.022245762711864406,0.013152584824105692,
0.015598149372108393,0.021150033046926635,0.035446730581736155,0.021150033046926635,0.014501948626635732,
0.018157720344599074,0.02279655400927767,0.03036921904564916,0.02279655400927767,0.01013876492672584,
0.01955085865257596,0.027873183619550858,0.05099522899414139,0.027873183619550858,0.014392998699295912,
0.018525817895151755,0.02299303639469189,0.023642940842759263,0.02299303639469189,0.010403309131089824,
0.01864406779661017,0.021903520208604955,0.031199947964429514,0.021903520208604955,0.0120474418054429,
0.017118777982617857,0.023176191730313406,0.034034141177179046,0.023176191730313406,0.013614280133040774,
0.018823219691983677,0.023693563248650785,0.03172200258089028,0.023693563248650785,0.011571562733231953,
0.022040385376798206,0.03537019928731688,0.03715060414922534,0.03537019928731688,0.016510107159645637,
