Majority Class Accuracy,Accuracy,Precision,Recall,F Score,Support
0.014707830926195839,0.01775539949648867,0.0189573553424876,0.01775539949648867,0.007537360948846403,
0.012433862433862434,0.016666666666666666,0.021505335114501464,0.016666666666666666,0.007685700420373969,
0.011821883620123473,0.01628792854328123,0.02960291884484914,0.01628792854328123,0.009876682906005895,
0.01033112582781457,0.014834437086092715,0.017145268389273924,0.014834437086092715,0.008342583633969763,
0.012894736842105263,0.0225,0.02058739970986347,0.0225,0.0083349380680539,
0.012451980394754272,0.023181878394489337,0.01864465747578707,0.023181878394489337,0.00959517242731724,
0.011106755520710831,0.01528812230497844,0.01793850027536182,0.01528812230497844,0.008121799113459923,
0.01147605856747131,0.016488589895792112,0.019098584397835492,0.016488589895792112,0.008962919660007377,
0.013116057233704292,0.0196078431372549,0.03363412093760613,0.0196078431372549,0.009418969865628337,
0.012097304404996713,0.01814595660749507,0.01382118998921567,0.01814595660749507,0.007602482820153322,
