Majority Class Accuracy,Accuracy,Precision,Recall,F Score,Support
0.05850358185195012,0.07349429556911648,0.09828394581461469,0.07349429556911648,0.0461936847156566,
0.059619172685489163,0.09494418910045963,0.13234275265777615,0.09494418910045963,0.05230515897893476,
0.06039735099337749,0.07456953642384107,0.12245949719257065,0.07456953642384107,0.04661535693000851,
0.060941828254847646,0.08059622741063184,0.12249697717701061,0.08059622741063184,0.05012527235633321,
0.054651316660050284,0.07053063384941115,0.11349143280594962,0.07053063384941115,0.04666899267208244,
0.05866032500990884,0.08257365570088519,0.15591256152248928,0.08257365570088519,0.05526180019197105,
0.06068636544322247,0.07817675897707699,0.1267068512130926,0.07817675897707699,0.05045144863940939,
0.05845014546416292,0.09666754826765406,0.1298016073600934,0.09666754826765406,0.06159198883166619,
0.060362966859547604,0.07167280378748027,0.12891580725563517,0.07167280378748027,0.04090063447184321,
0.06175457195865359,0.07831963954412934,0.12209244627889039,0.07831963954412934,0.046062622679134746,
