Majority Class Accuracy,Accuracy,Precision,Recall,F Score,Support
0.501446987634833,0.565772165219679,0.6199114085172575,0.565772165219679,0.509184373110407,
0.511402810925484,0.5531689207106868,0.5929423386251336,0.5531689207106868,0.48532190190440005,
0.5005929634998023,0.5464488074845171,0.5804469036364321,0.5464488074845171,0.49362910872254734,
0.502446119264842,0.5528229538542906,0.6001318687116707,0.5528229538542906,0.4900909059959736,
0.5029139072847683,0.5626490066225166,0.5628657136137407,0.5626490066225166,0.5625107782551892,
0.49993406303573784,0.5443755769484373,0.6003639725707416,0.5443755769484373,0.47062089102928834,
0.5014382845188284,0.5402719665271967,0.629471861415784,0.5402719665271967,0.4427890950346381,
0.4895737704918033,0.5577704918032786,0.6068195329458711,0.5577704918032786,0.510490145370385,
0.5114624505928854,0.5670619235836627,0.5874061835164487,0.5670619235836627,0.5301142175841199,
0.4997355896351137,0.5383395029085141,0.6014892898818266,0.5383395029085141,0.4536737283765301,
