filename,t_score,p_value,stat_signif,classifier_mean,majority_class_mean,classifier_std_error,majority_class_std_error,classifier_CI_str,majority_class_CI_str,components,F,T,GROUP,K
F=chi-test_T=log_range_GROUP=55_K=1000,-0.0204671698927668,0.9837409664686452,0,0.2516674959479517,0.2516898064469635,0.0041900642903897,0.0042532885696777,"[0.2435, 0.2599]","[0.2434, 0.2600]","['F=chi-test', 'T=log', 'range', 'GROUP=55', 'K=1000']",chi-test,log,55,1000
F=chi-test_T=log_range_GROUP=55_K=5,-45.76422354719774,5.737128222610653e-47,-1,0.1984527220372092,0.2526909937288642,0.0043867642308035,0.004784867988268,"[0.1899, 0.2071]","[0.2433, 0.2621]","['F=chi-test', 'T=log', 'range', 'GROUP=55', 'K=5']",chi-test,log,55,5
F=chi-test_T=log_range_GROUP=5_K=100,0.0,1.0,0,0.7938407869286578,0.7938407869286578,0.0041740670026009,0.0041740670026009,"[0.7857, 0.8020]","[0.7857, 0.8020]","['F=chi-test', 'T=log', 'range', 'GROUP=5', 'K=100']",chi-test,log,5,100
F=chi-test_T=log_range_GROUP=5_K=1000,0.0,1.0,0,0.791980325823626,0.791980325823626,0.0044710059366274,0.0044710059366274,"[0.7832, 0.8007]","[0.7832, 0.8007]","['F=chi-test', 'T=log', 'range', 'GROUP=5', 'K=1000']",chi-test,log,5,1000
F=chi-test_T=log_range_GROUP=5_K=5,-9.727865663757058,9.087353307763952e-14,-1,0.7796107540595221,0.7939742419328824,0.0054931567518613,0.0059354423462257,"[0.7688, 0.7904]","[0.7823, 0.8056]","['F=chi-test', 'T=log', 'range', 'GROUP=5', 'K=5']",chi-test,log,5,5
F=chi-test_T=log_range_GROUP=60_K=100,-6.154322012056291,8.28678817448985e-08,-1,0.2276897737921088,0.2353347503890104,0.0051931998162108,0.0043958438317621,"[0.2175, 0.2379]","[0.2267, 0.2440]","['F=chi-test', 'T=log', 'range', 'GROUP=60', 'K=100']",chi-test,log,60,100
F=chi-test_T=log_range_GROUP=60_K=1000,-0.017869908162902,0.9858039690867966,0,0.2351059201680171,0.2351278674362202,0.0047709172665352,0.0047423965661153,"[0.2258, 0.2445]","[0.2258, 0.2444]","['F=chi-test', 'T=log', 'range', 'GROUP=60', 'K=1000']",chi-test,log,60,1000
F=chi-test_T=log_range_GROUP=60_K=5,-48.588029537978855,5.3613859100466006e-48,-1,0.1831573215169605,0.2352661661103301,0.0038477791843324,0.0044384542738679,"[0.1756, 0.1907]","[0.2266, 0.2440]","['F=chi-test', 'T=log', 'range', 'GROUP=60', 'K=5']",chi-test,log,60,5
F=chi-test_T=log_range_GROUP=65_K=100,-5.989750116560898,1.4194037797634066e-07,-1,0.2131583841853326,0.2205027242259231,0.0048038895948419,0.0046931926126251,"[0.2037, 0.2226]","[0.2113, 0.2297]","['F=chi-test', 'T=log', 'range', 'GROUP=65', 'K=100']",chi-test,log,65,100
F=chi-test_T=log_range_GROUP=65_K=1000,-0.034421316045288,0.972659419440838,0,0.2201123721810891,0.2201520082918356,0.004502700146333,0.0044163547506722,"[0.2113, 0.2289]","[0.2115, 0.2288]","['F=chi-test', 'T=log', 'range', 'GROUP=65', 'K=1000']",chi-test,log,65,1000
F=chi-test_T=log_range_GROUP=65_K=5,-52.78458255850788,9.37191656236867e-50,-1,0.1703319177502053,0.2220756283819594,0.0034706497461652,0.0040967183584763,"[0.1635, 0.1771]","[0.2140, 0.2301]","['F=chi-test', 'T=log', 'range', 'GROUP=65', 'K=5']",chi-test,log,65,5
F=chi-test_T=log_range_GROUP=70_K=100,-5.381669473453439,1.4080890417373046e-06,-1,0.199671960681533,0.208032506996924,0.006252027349666,0.0057719275998274,"[0.1874, 0.2119]","[0.1967, 0.2193]","['F=chi-test', 'T=log', 'range', 'GROUP=70', 'K=100']",chi-test,log,70,100
