filename,t_score,p_value,stat_signif,classifier_mean,majority_class_mean,classifier_std_error,majority_class_std_error,classifier_CI_str,majority_class_CI_str,components,F,T,GROUP,K
F=textblob_T=kmeans_GROUP=8_K=87,-0.4372586607806775,0.6635477600684242,0,0.4708306698602134,0.4713898584590427,0.0049776394517496,0.0049281729294812,"[0.4611, 0.4806]","[0.4617, 0.4810]","['F=textblob', 'T=kmeans', 'GROUP=8', 'K=87']",textblob,kmeans,8,87
F=all_T=range_GROUP=20_K=5,-26.372421669151223,2.3173946047126407e-33,-1,0.4227205621255032,0.4791342462395091,0.0089809653185044,0.0075244170944351,"[0.4051, 0.4403]","[0.4644, 0.4939]","['F=all', 'T=range', 'GROUP=20', 'K=5']",all,range,20,5
F=chi-test_T=log-range_GROUP=20_K=87,-0.1501953553399443,0.8811316003723929,0,0.4783911254044103,0.4786819055857171,0.0074884590215348,0.0075078217664647,"[0.4637, 0.4931]","[0.4640, 0.4934]","['F=chi-test', 'T=log-range', 'GROUP=20', 'K=87']",chi-test,log-range,20,87
F=textblob_T=log-range_GROUP=20_K=87,-0.0666650097407391,0.947077666849612,0,0.4770116829109499,0.4771349451867795,0.0071453769186795,0.0071767269757972,"[0.4630, 0.4910]","[0.4631, 0.4912]","['F=textblob', 'T=log-range', 'GROUP=20', 'K=87']",textblob,log-range,20,87
F=chi-test_T=range_GROUP=8_K=87,0.0,1.0,0,0.6995024891754674,0.6995024891754674,0.0043549313920043,0.0043549313920043,"[0.6910, 0.7080]","[0.6910, 0.7080]","['F=chi-test', 'T=range', 'GROUP=8', 'K=87']",chi-test,range,8,87
F=chi-test_T=range_GROUP=12_K=87,-0.0031850589425193,0.99746962481041,0,0.6042539802642238,0.6042582957293464,0.0052452785173728,0.0052498007266617,"[0.5940, 0.6145]","[0.5940, 0.6145]","['F=chi-test', 'T=range', 'GROUP=12', 'K=87']",chi-test,range,12,87
F=textblob_T=range_GROUP=20_K=5,-14.588554373235878,2.63292344743927e-16,-1,0.4212260740745055,0.4781014856997359,0.0204108547082135,0.0062751144886239,"[0.3812, 0.4612]","[0.4658, 0.4904]","['F=textblob', 'T=range', 'GROUP=20', 'K=5']",textblob,range,20,5
F=textblob_T=kmeans_GROUP=3_K=5,-6.860858741261475,7.28968314516544e-08,-1,0.7390499482760006,0.7660451129089849,0.0207616131400844,0.0057794917415887,"[0.6984, 0.7797]","[0.7547, 0.7774]","['F=textblob', 'T=kmeans', 'GROUP=3', 'K=5']",textblob,kmeans,3,5
F=textblob_T=freq_GROUP=20_K=5,4.092401857723112,0.0001337909247714,1,0.0527970818059394,0.0501389994439471,0.0025568021582684,0.0024736433908523,"[0.0478, 0.0578]","[0.0453, 0.0550]","['F=textblob', 'T=freq', 'GROUP=20', 'K=5']",textblob,freq,20,5
F=vote-count_T=freq_GROUP=20_K=5,4.501263307086848,4.042326658863708e-05,1,0.0533144044318056,0.0500880304303736,0.0032809728875185,0.0021559284185744,"[0.0469, 0.0597]","[0.0459, 0.0543]","['F=vote-count', 'T=freq', 'GROUP=20', 'K=5']",vote-count,freq,20,5
