filename,t_score,p_value,stat_signif,classifier_mean,majority_class_mean,classifier_std_error,majority_class_std_error,classifier_CI_str,majority_class_CI_str,components,F,T,GROUP,K,CRIT
F=textblob_T=freq_GROUP=8_CRIT=entropy,1.5063155348680992,0.1379631451811237,0,0.1325839864954835,0.128022405743991,0.0096798698061846,0.0134691796590192,"[0.1136, 0.1516]","[0.1016, 0.1544]","['F=textblob', 'T=freq', 'GROUP=8', 'CRIT=entropy']",textblob,freq,8,,entropy
F=textblob_T=freq_GROUP=8_CRIT=gini,2.281287492079522,0.0262395943136235,1,0.1313815320469454,0.1260871932637365,0.0093010806007691,0.0086642258214003,"[0.1132, 0.1496]","[0.1091, 0.1431]","['F=textblob', 'T=freq', 'GROUP=8', 'CRIT=gini']",textblob,freq,8,,gini
F=textblob_T=freq_GROUP=8_CRIT=log-loss,2.109785864673396,0.0392073193777057,1,0.128340354607273,0.1225886917967633,0.0103798029117835,0.0107341482702113,"[0.1080, 0.1487]","[0.1015, 0.1436]","['F=textblob', 'T=freq', 'GROUP=8', 'CRIT=log-loss']",textblob,freq,8,,log-loss
F=textblob_T=freq_GROUP=8_CRIT=random,1.476400310604974,0.1457064289252652,0,0.1288113008306188,0.1251938395348376,0.0079819045669292,0.0107885185467446,"[0.1132, 0.1445]","[0.1040, 0.1463]","['F=textblob', 'T=freq', 'GROUP=8', 'CRIT=random']",textblob,freq,8,,random
F=textblob_T=kmeans_GROUP=8_CRIT=entropy,-26.96539975482098,1.2451858654610394e-33,-1,0.3580304123010814,0.4711101027755413,0.0178327304751527,0.0144761757915867,"[0.3231, 0.3930]","[0.4427, 0.4995]","['F=textblob', 'T=kmeans', 'GROUP=8', 'CRIT=entropy']",textblob,kmeans,8,,entropy
F=textblob_T=kmeans_GROUP=8_CRIT=gini,-26.50487761466169,6.509900516957557e-34,-1,0.3561279771564609,0.4704821308770177,0.0158893388650315,0.0174918574324783,"[0.3250, 0.3873]","[0.4362, 0.5048]","['F=textblob', 'T=kmeans', 'GROUP=8', 'CRIT=gini']",textblob,kmeans,8,,gini
F=textblob_T=kmeans_GROUP=8_CRIT=log-loss,-30.541821759969192,2.673394953844045e-37,-1,0.3520229998406305,0.4644950478423444,0.0137062430473347,0.0147978388303964,"[0.3252, 0.3789]","[0.4355, 0.4935]","['F=textblob', 'T=kmeans', 'GROUP=8', 'CRIT=log-loss']",textblob,kmeans,8,,log-loss
F=textblob_T=kmeans_GROUP=8_CRIT=random,-24.431367988742608,7.697692058308566e-32,-1,0.3740761922391362,0.4723237738639012,0.0166376962865439,0.0144336299847233,"[0.3415, 0.4067]","[0.4440, 0.5006]","['F=textblob', 'T=kmeans', 'GROUP=8', 'CRIT=random']",textblob,kmeans,8,,random
F=textblob_T=log-range_GROUP=8_CRIT=entropy,-47.13649982787486,6.26862250454383e-48,-1,0.5778685998518714,0.6997889661111089,0.0101158860242737,0.0099183806566895,"[0.5580, 0.5977]","[0.6803, 0.7192]","['F=textblob', 'T=log-range', 'GROUP=8', 'CRIT=entropy']",textblob,log-range,8,,entropy
F=textblob_T=log-range_GROUP=8_CRIT=gini,-27.41630748416576,1.2638003004221266e-34,-1,0.5763932759396772,0.6976048234643017,0.0180551477224298,0.0161371644619234,"[0.5410, 0.6118]","[0.6660, 0.7292]","['F=textblob', 'T=log-range', 'GROUP=8', 'CRIT=gini']",textblob,log-range,8,,gini
F=textblob_T=log-range_GROUP=8_CRIT=log-loss,-31.57247010454336,3.1177560450070862e-37,-1,0.5785403346161253,0.6980707801302376,0.016085411647492,0.0130863424229744,"[0.5470, 0.6101]","[0.6724, 0.7237]","['F=textblob', 'T=log-range', 'GROUP=8', 'CRIT=log-loss']",textblob,log-range,8,,log-loss
F=textblob_T=log-range_GROUP=8_CRIT=random,-18.6727765980241,1.5174943290851513e-25,-1,0.618489246105348,0.6940382838861916,0.017316029089653,0.0138291504998127,"[0.5845, 0.6524]","[0.6669, 0.7211]","['F=textblob', 'T=log-range', 'GROUP=8', 'CRIT=random']",textblob,log-range,8,,random
F=textblob_T=range_GROUP=8_CRIT=entropy,-35.06881796997746,7.329128761435694e-39,-1,0.577221138907677,0.6967035686616935,0.0148732941156455,0.0112708423344284,"[0.5481, 0.6064]","[0.6746, 0.7188]","['F=textblob', 'T=range', 'GROUP=8', 'CRIT=entropy']",textblob,range,8,,entropy
F=textblob_T=range_GROUP=8_CRIT=gini,-33.8951376291636,3.0367789640282444e-39,-1,0.5756731625683723,0.6955968735952958,0.014773134641051,0.0125417228093358,"[0.5467, 0.6046]","[0.6710, 0.7202]","['F=textblob', 'T=range', 'GROUP=8', 'CRIT=gini']",textblob,range,8,,gini
F=textblob_T=range_GROUP=8_CRIT=log-loss,-28.584777763626438,1.1664076807668825e-35,-1,0.5757075820472842,0.6998308134246546,0.0176196986823163,0.0159752684999805,"[0.5412, 0.6102]","[0.6685, 0.7311]","['F=textblob', 'T=range', 'GROUP=8', 'CRIT=log-loss']",textblob,range,8,,log-loss
F=textblob_T=range_GROUP=8_CRIT=random,-19.93485674605665,1.4559994013360762e-27,-1,0.6271012988641089,0.6996103407773354,0.0145595481545623,0.0135984542897636,"[0.5986, 0.6556]","[0.6730, 0.7263]","['F=textblob', 'T=range', 'GROUP=8', 'CRIT=random']",textblob,range,8,,random
F=vote-count_T=freq_GROUP=8_CRIT=entropy,7.614611377551349,3.4292931881746957e-10,1,0.1470967519498363,0.126339205867059,0.0115707289657758,0.0094367892539156,"[0.1244, 0.1698]","[0.1078, 0.1448]","['F=vote-count', 'T=freq', 'GROUP=8', 'CRIT=entropy']",vote-count,freq,8,,entropy
F=vote-count_T=freq_GROUP=8_CRIT=gini,6.382723843295099,3.226974984459878e-08,1,0.145374739655742,0.1246640851737284,0.0130250654683098,0.0120917013469685,"[0.1198, 0.1709]","[0.1010, 0.1484]","['F=vote-count', 'T=freq', 'GROUP=8', 'CRIT=gini']",vote-count,freq,8,,gini
F=vote-count_T=freq_GROUP=8_CRIT=log-loss,8.068681292803383,4.6993441980506526e-11,1,0.1478250216191112,0.1240738991448566,0.0114171464729398,0.01138400312712,"[0.1254, 0.1702]","[0.1018, 0.1464]","['F=vote-count', 'T=freq', 'GROUP=8', 'CRIT=log-loss']",vote-count,freq,8,,log-loss
F=vote-count_T=freq_GROUP=8_CRIT=random,8.363024567533207,5.891730703395935e-11,1,0.1472256999042363,0.1223725097887236,0.0138394551765913,0.0085683341774174,"[0.1201, 0.1744]","[0.1056, 0.1392]","['F=vote-count', 'T=freq', 'GROUP=8', 'CRIT=random']",vote-count,freq,8,,random
F=vote-count_T=kmeans_GROUP=8_CRIT=entropy,-6.551011941568164,1.6573191969839473e-08,-1,0.4468547937369809,0.4723371072382373,0.0150134917388969,0.0151168137542227,"[0.4174, 0.4763]","[0.4427, 0.5020]","['F=vote-count', 'T=kmeans', 'GROUP=8', 'CRIT=entropy']",vote-count,kmeans,8,,entropy
F=vote-count_T=kmeans_GROUP=8_CRIT=gini,-6.002425731983384,1.4045575130106541e-07,-1,0.4409972135063736,0.4650783647613289,0.0163922232603055,0.01463407138555,"[0.4089, 0.4731]","[0.4364, 0.4938]","['F=vote-count', 'T=kmeans', 'GROUP=8', 'CRIT=gini']",vote-count,kmeans,8,,gini
F=vote-count_T=kmeans_GROUP=8_CRIT=log-loss,-5.280667473169545,2.0216787953659927e-06,-1,0.4458784297366078,0.4702074501177405,0.0175045431128811,0.018176248769087,"[0.4116, 0.4802]","[0.4346, 0.5058]","['F=vote-count', 'T=kmeans', 'GROUP=8', 'CRIT=log-loss']",vote-count,kmeans,8,,log-loss
F=vote-count_T=kmeans_GROUP=8_CRIT=random,-5.397823531033925,1.3086434090165204e-06,-1,0.4469262022151555,0.472498541989774,0.0181668823700641,0.0185280736567062,"[0.4113, 0.4825]","[0.4362, 0.5088]","['F=vote-count', 'T=kmeans', 'GROUP=8', 'CRIT=random']",vote-count,kmeans,8,,random
F=vote-count_T=log-range_GROUP=8_CRIT=entropy,-6.912664043933932,4.143304449926103e-09,-1,0.666966620201406,0.6925987167677525,0.0140468587886242,0.0146683909179348,"[0.6394, 0.6945]","[0.6638, 0.7213]","['F=vote-count', 'T=log-range', 'GROUP=8', 'CRIT=entropy']",vote-count,log-range,8,,entropy
F=vote-count_T=log-range_GROUP=8_CRIT=gini,-6.419005061371272,2.766225678180817e-08,-1,0.6734641522184471,0.697497990785381,0.0147716196774077,0.0142254439407459,"[0.6445, 0.7024]","[0.6696, 0.7254]","['F=vote-count', 'T=log-range', 'GROUP=8', 'CRIT=gini']",vote-count,log-range,8,,gini
F=vote-count_T=log-range_GROUP=8_CRIT=log-loss,-6.789311695401142,7.056548640522445e-09,-1,0.6773106625287405,0.7013379225338163,0.0145206501036137,0.0128406690829665,"[0.6489, 0.7058]","[0.6762, 0.7265]","['F=vote-count', 'T=log-range', 'GROUP=8', 'CRIT=log-loss']",vote-count,log-range,8,,log-loss
F=vote-count_T=log-range_GROUP=8_CRIT=random,-5.130664395209577,3.5023505134732327e-06,-1,0.6805149264334103,0.7016469654923841,0.0156660801345095,0.0162327607985312,"[0.6498, 0.7112]","[0.6698, 0.7335]","['F=vote-count', 'T=log-range', 'GROUP=8', 'CRIT=random']",vote-count,log-range,8,,random
F=vote-count_T=range_GROUP=8_CRIT=entropy,-7.097687703393814,2.057612917979044e-09,-1,0.670562829084736,0.6957475795351407,0.0142166305910756,0.0132514586516018,"[0.6427, 0.6984]","[0.6698, 0.7217]","['F=vote-count', 'T=range', 'GROUP=8', 'CRIT=entropy']",vote-count,range,8,,entropy
F=vote-count_T=range_GROUP=8_CRIT=gini,-6.179801206366834,6.87675718487495e-08,-1,0.6717711366629607,0.695682504196627,0.0150685146840181,0.0149023213937914,"[0.6422, 0.7013]","[0.6665, 0.7249]","['F=vote-count', 'T=range', 'GROUP=8', 'CRIT=gini']",vote-count,range,8,,gini
F=vote-count_T=range_GROUP=8_CRIT=log-loss,-6.645018300851901,1.1978118185587611e-08,-1,0.6749401067460673,0.6991591602794782,0.0147755926544299,0.0134236930252034,"[0.6460, 0.7039]","[0.6728, 0.7255]","['F=vote-count', 'T=range', 'GROUP=8', 'CRIT=log-loss']",vote-count,range,8,,log-loss
F=vote-count_T=range_GROUP=8_CRIT=random,-6.316418838244349,4.1041185779232234e-08,-1,0.6749795858789082,0.6960776676578916,0.0132108189586622,0.0126562907519345,"[0.6491, 0.7009]","[0.6713, 0.7209]","['F=vote-count', 'T=range', 'GROUP=8', 'CRIT=random']",vote-count,range,8,,random
