,0,1,2,3,4,5,6,7,8,9
Majority Classifier,"(0.1266807276562088, 0.12558233264974691)","(0.12291694440741234, 0.12558233264974691)","(0.12845980664812606, 0.12558233264974691)","(0.12324452027825174, 0.12465771286999609)","(0.12339807107940283, 0.12491850306428479)","(0.11987213638785296, 0.1254163752533814)","(0.12280470091113165, 0.1254163752533814)","(0.1253814515059042, 0.12558233264974691)","(0.1287928978402014, 0.12491850306428479)","(0.12715772829094743, 0.12558233264974691)"
Nearest Neighbors,"(0.13157199471598416, 0.12990907905499116)","(0.13366073798778869, 0.13194798421033915)","(0.1311583674547616, 0.12988537085551038)","(0.13134249471458773, 0.13001576595265474)","(0.12791313559322035, 0.12979053805758722)","(0.13021525378687218, 0.13041880534382816)","(0.13663940912687944, 0.13045436764304935)","(0.13085472347181795, 0.13128415462487703)","(0.13157894736842105, 0.13194798421033915)","(0.1298804780876494, 0.13098780213136713)"
Decision Tree,"(0.1444620671424795, 0.14684858758401592)","(0.14638354346383545, 0.150120319112365)","(0.149714891924148, 0.14656408919024644)","(0.14642904641574678, 0.1483540582510461)","(0.14315900686740624, 0.14531940871750496)","(0.15037593984962405, 0.1466944842873908)","(0.14676486059968438, 0.14735831387285292)","(0.1492201956119482, 0.14802214345831505)","(0.14170522141440847, 0.14654038099076566)","(0.14481486361839505, 0.14605436290140944)"
Random Forest,"(0.1343442404894919, 0.13102336443058832)","(0.1318229994700583, 0.13111819722851148)","(0.13215800636267233, 0.1345321779537453)","(0.1314157540572635, 0.13235102360151257)","(0.1338520374521957, 0.13192427601085835)","(0.126751255617235, 0.13136713332305977)","(0.13412045635447067, 0.1322917531028106)","(0.13482849604221636, 0.1345795943527069)","(0.12940082370134184, 0.13218506620514706)","(0.1258444827129421, 0.13099965623110754)"
Neural Net,"(0.1469038208168643, 0.14550907431335128)","(0.1482022024678254, 0.14757168766818005)","(0.14750856841550225, 0.14580542680686115)","(0.15195426748205265, 0.14702639908012186)","(0.14964086193136472, 0.14760724996740124)","(0.15132190779859173, 0.14682487938453515)","(0.14637033140452393, 0.14789174836117072)","(0.15636507101525512, 0.14824737135338256)","(0.1475583864118896, 0.14428810204009057)","(0.14963839579224195, 0.14728718927441056)"
AdaBoost,"(0.1430456584850884, 0.1431856707642338)","(0.1443971253659835, 0.14649296459180408)","(0.1415543219666931, 0.14782062376272834)","(0.15077898072352786, 0.14652852689102527)","(0.15254684613354447, 0.1474650007705165)","(0.1492791612057667, 0.1484014746500077)","(0.14737258000790202, 0.14848445334819046)","(0.15407736539466807, 0.14714494007752582)","(0.14758000528960594, 0.14656408919024644)","(0.1424986793449551, 0.1444066430374945)"
Naive Bayes,"(0.1500796178343949, 0.1449637857252931)","(0.1402720908730683, 0.13870482106236443)","(0.1425755584756899, 0.1419765525907135)","(0.13880833113630373, 0.13319266468308064)","(0.1389442893232283, 0.1357294420275252)","(0.13935295677539114, 0.13970056544055762)","(0.14456075261693388, 0.14264038217617564)","(0.13040585495675316, 0.13306226958593628)","(0.14266860234921472, 0.13764980618546924)","(0.14211988884477966, 0.14448962173567728)"
QDA,"(0.14608374058908996, 0.14576986450763996)","(0.1498028909329829, 0.14458445453360044)","(0.14714003944773177, 0.1434227527590417)","(0.14508662875281048, 0.1432093789637146)","(0.1418109187749667, 0.13979539823848078)","(0.14468255024623985, 0.14364798065410922)","(0.15050919190583256, 0.14356500195592645)","(0.13763525996305093, 0.1419884066904539)","(0.1405490608170235, 0.14536682511646654)","(0.14469155414350013, 0.14283004777202196)"
