,0,1,2,3,4,5,6,7,8,9
Majority Classifier,"(0.8001840410148547, 0.8048910595319946)","(0.8114300763760863, 0.8048910595319946)","(0.80377408287147, 0.8048415983679472)","(0.8044314714077219, 0.8048271115646581)","(0.8050836296588963, 0.8048910595319946)","(0.7993643226062773, 0.804856360338143)","(0.8015297375708822, 0.8048050899767343)","(0.8040433403805497, 0.8048933723728351)","(0.802830062741957, 0.8048910595319946)","(0.8083886935000651, 0.804847967363977)"
Nearest Neighbors,"(0.8281085353003161, 0.8339932193745703)","(0.8394736842105263, 0.8323927631422948)","(0.8317263241315546, 0.8325526793231434)","(0.8356652587117213, 0.8342663314198966)","(0.8396663577386468, 0.8341889664821028)","(0.8409508799579721, 0.8360558501488784)","(0.839688613273519, 0.8332997355658062)","(0.8309343103899502, 0.8320311110584162)","(0.8404520962018662, 0.8349615858863702)","(0.8299685369690614, 0.8336278777383734)"
Decision Tree,"(0.8677509665377949, 0.8565618960672492)","(0.8601241579712059, 0.8588439004720226)","(0.861933455593398, 0.8565381833702856)","(0.8633621820089169, 0.8579980559045971)","(0.858146626010871, 0.8536420463306724)","(0.8591809775429327, 0.8593020223333887)","(0.8539236479321315, 0.8601779359430605)","(0.8515335801163406, 0.8572614206276751)","(0.8613585005981657, 0.8583062661514024)","(0.8622057656704576, 0.8560876421279774)"
Random Forest,"(0.8094544491525424, 0.804856360338143)","(0.8104296926965545, 0.8048722632065849)","(0.8072717692003688, 0.8048910595319946)","(0.7983048602834062, 0.8049573055028463)","(0.8113504992117709, 0.8048586740017073)","(0.8077990746860542, 0.8048520204894707)","(0.8032917440934431, 0.804825680019929)","(0.8018604651162791, 0.8048910595319946)","(0.8047061951608615, 0.8048867233346374)","(0.8059602649006623, 0.8048418679166914)"
Neural Net,"(0.8515428420076812, 0.8529662926678844)","(0.8591568027663253, 0.8520235188126793)","(0.8591437632135307, 0.8520973134469921)","(0.8554041539886228, 0.853838950200927)","(0.8653412856196157, 0.8540767442963525)","(0.8585911784068466, 0.8519331119544592)","(0.8532170696261064, 0.8545741362337061)","(0.8549557872508908, 0.8545935306393474)","(0.8581054300435988, 0.853967614215605)","(0.8573313976507853, 0.8526461965746027)"
AdaBoost,"(0.8717881143760706, 0.8627390536262641)","(0.8652836134453782, 0.8610666382040061)","(0.8631214180994269, 0.8625068171578972)","(0.8658025661167845, 0.8624467870652548)","(0.8580966095038618, 0.8620791879617222)","(0.8668701884788956, 0.8620358400834924)","(0.8603573792190602, 0.8615705664046289)","(0.8591101694915254, 0.8623163486736787)","(0.8676138627008365, 0.8629969636587912)","(0.8682508250825083, 0.8611265902327401)"
Naive Bayes,"(0.5888048812839899, 0.5788456063769216)","(0.5240422721268164, 0.5233617152479663)","(0.5416886543535621, 0.5411118883606227)","(0.5223744292237443, 0.5240285450105503)","(0.5087324689071183, 0.5111666943265606)","(0.5561687031927474, 0.5571298151595272)","(0.5511707445409103, 0.555459405635439)","(0.5768721884096322, 0.5677232746153299)","(0.5614657210401891, 0.5656189606724921)","(0.5529722589167767, 0.5548254717540593)"
QDA,"(0.616699801192843, 0.6119323367986819)","(0.5998420429116756, 0.6008111377273914)","(0.6113818996179686, 0.6172501304492197)","(0.5088804104723063, 0.5131193259360352)","(0.5847714398629956, 0.5786639464819472)","(0.5335261635550881, 0.5438740052893111)","(0.5791338582677166, 0.5810448681464617)","(0.6606238336443615, 0.6522682796655399)","(0.6207033842070339, 0.6206671647277859)","(0.5992310751690308, 0.5954529821273972)"
Linear SVM,"(0.8412845249107969, 0.8329992052100262)","(0.8360655737704918, 0.8302551928783383)","(0.8208580858085809, 0.8236257087949892)","(0.8410019775873434, 0.8376071415869403)","(0.8256478405315615, 0.8344382642109133)","(0.8368455931080185, 0.8365865806512819)","(0.8278171788810087, 0.8269928610392998)","(0.8363205060622034, 0.834142116441038)","(0.8408130939809926, 0.8317832400113885)","(0.8301936503754446, 0.8333372870901931)"
