,0,1,2,3,4,5,6,7,8,9
Decision Tree,"(0.1460288093035549, 0.14802214345831505)","(0.13554415054612448, 0.14559205301153405)","(0.14104260386345593, 0.14848445334819046)","(0.14217316132464425, 0.14601880060218828)","(0.1421794702859402, 0.14435922663853293)","(0.14702373061116267, 0.14511788902191822)","(0.13802668075551447, 0.14802214345831505)","(0.15356102727032037, 0.14598323830296708)","(0.14342105263157895, 0.14572244810867838)","(0.14060429366551816, 0.1476428122666224)"
Random Forest,"(0.15090836759050524, 0.14729904337415095)","(0.1493147074327886, 0.1457343022084188)","(0.15012587783225123, 0.14779691556324756)","(0.14828997755182888, 0.14899417963702746)","(0.1459660297239915, 0.14635071539491934)","(0.15130710324795352, 0.14830664185208453)","(0.14911586170493535, 0.1474057302718145)","(0.15042260961436874, 0.14853186974715205)","(0.14827039873250594, 0.14673004658661198)","(0.14893617021276595, 0.1484014746500077)"
