,0,1,2,3,4,5,6,7,8,9
Majority Classifier,"(0.12756174461376774, 0.12559005621842162)","(0.1270486429788908, 0.12438625204582651)","(0.1312664907651715, 0.12559916472877414)","(0.12268795741849634, 0.125170698110743)","(0.1257770136225367, 0.12497924523826466)","(0.12764837478615607, 0.12557665168459375)","(0.12378930608995621, 0.12465919059247493)","(0.12457157922488796, 0.12544224148165736)","(0.12431084274087686, 0.12558294075067342)","(0.13705718455618945, 0.12558238787921897)"
Nearest Neighbors,"(0.2058979808714134, 0.20092937243652054)","(0.20841047341973024, 0.19928597691878877)","(0.20173707066719304, 0.20285866793191387)","(0.19614317791573108, 0.20211971405199702)","(0.20738371318139412, 0.2029090305602314)","(0.20759659462999344, 0.20379287442478297)","(0.19805799414737962, 0.20158622897179643)","(0.20376508020681428, 0.20055013456955526)","(0.20106382978723406, 0.20399307613876178)","(0.20200554162818313, 0.20445704255420086)"
Decision Tree,"(0.19817073170731708, 0.1972933543665714)","(0.20269556025369978, 0.1960217169681595)","(0.18923957917166068, 0.1951002280068402)","(0.2033898305084746, 0.20001897713255526)","(0.19841688654353562, 0.19284841438384606)","(0.1880375810506815, 0.19883581700276226)","(0.20529365288385568, 0.20001423251180112)","(0.1986763732627399, 0.19576405853473425)","(0.20305242203052423, 0.20011865915158705)","(0.19445555111288818, 0.19597430000711255)"
Random Forest,"(0.18133616118769882, 0.18368146214099218)","(0.16038737065534625, 0.15991984443179663)","(0.14937867887508174, 0.1508948373400382)","(0.16105514316012726, 0.15961789486175387)","(0.1484251968503937, 0.14300955451765096)","(0.13426169206516028, 0.1443016667061808)","(0.15868817773075905, 0.15811312254745052)","(0.15769332277645817, 0.15486762386920078)","(0.16001064962726305, 0.1622647327411378)","(0.1563949635520212, 0.15615359058332146)"
Neural Net,"(0.265625, 0.27369107619329974)","(0.2697507953340403, 0.27432746595815344)","(0.2645997594547641, 0.275701322578732)","(0.26255587693925847, 0.275669007401784)","(0.278395552025417, 0.2710030957549016)","(0.27472962279082036, 0.27512217108696685)","(0.27267883308911683, 0.27610860801517667)","(0.275830258302583, 0.27492708605031657)","(0.27992100065832787, 0.2739165500391394)","(0.2741658974020836, 0.2745609562319906)"
AdaBoost,"(0.18835978835978837, 0.1912756850330215)","(0.18994561612946015, 0.19063148532463683)","(0.18991216396060687, 0.19267751917764367)","(0.18837516512549538, 0.1906003983685858)","(0.17929759704251386, 0.18158646607627651)","(0.18949741413605622, 0.19157619979830337)","(0.18922124127025958, 0.19053152010243884)","(0.16931427058512047, 0.1712707182320442)","(0.186736703873933, 0.19097897783894083)","(0.19359110169491525, 0.19449154049535824)"
Naive Bayes,"(0.1819259649585035, 0.18666635049737382)","(0.18440561292030713, 0.1858272758534821)","(0.1864943286731733, 0.18505654472604852)","(0.18529801324503312, 0.18658850612903607)","(0.18290416777276347, 0.18596682593694794)","(0.1912254967328977, 0.18664326708722667)","(0.17139448568398727, 0.17853840134683327)","(0.18963689371852638, 0.1857298733336496)","(0.1905829596412556, 0.18963226571767497)","(0.1921299352964479, 0.19171519039882357)"
QDA,"(0.21535407015221708, 0.2195116165988686)","(0.2040924092409241, 0.20040070657135067)","(0.21953476077187417, 0.22627373811612414)","(0.23522364217252395, 0.22795015591098253)","(0.22014729089952656, 0.22508476987646125)","(0.2230083857442348, 0.21931343708483583)","(0.22540820390282756, 0.2291192373363688)","(0.22034791776489193, 0.22086857495343953)","(0.21863419798835362, 0.2171521380896492)","(0.21923583662714097, 0.2290600928156861)"
Linear SVM,"(0.26996550809233216, 0.27370717766894737)","(0.28027498677948176, 0.2727348197343453)","(0.2666225165562914, 0.27454420446193606)","(0.2790202342917998, 0.2749691738594328)","(0.27562070787110404, 0.2746533173584503)","(0.2673227822848783, 0.2727693238290655)","(0.26858957396136546, 0.273238367472809)","(0.2837498347216713, 0.2725191020834322)","(0.27322042868483726, 0.2735841227310989)","(0.2827309236947791, 0.27422893123525155)"
