,0,1,2,3,4,5,6,7,8,9
Majority Classifier,"(0.1334823776959495, 0.12558233264974691)","(0.12537905295078144, 0.12558233264974691)","(0.12655458057025476, 0.1243969226757074)","(0.12615317753501512, 0.12558233264974691)","(0.1278507638940143, 0.1243969226757074)","(0.12573817146922803, 0.1243969226757074)","(0.12740497012728375, 0.1243969226757074)","(0.12435179955845356, 0.12558233264974691)","(0.12543092468370554, 0.1243969226757074)","(0.12737581450452737, 0.1243969226757074)"
Nearest Neighbors,"(0.13385318514341676, 0.13408172216361028)","(0.13450345271866276, 0.133323059780225)","(0.1352575061438188, 0.13348901717659054)","(0.13305978898007034, 0.13251698099787812)","(0.13432766471517518, 0.13398688936568712)","(0.13408035857211462, 0.1303476807453858)","(0.13457228393345003, 0.13513673704050547)","(0.13428329711527295, 0.13518415343946705)","(0.1329205814128131, 0.13241029410021457)","(0.13305387621497045, 0.13241029410021457)"
Decision Tree,"(0.1741789728895746, 0.1697625623821999)","(0.1668399306943889, 0.17059234936402756)","(0.17023008697887657, 0.1707464526606527)","(0.1710574637106906, 0.17082943135883547)","(0.17335596561353556, 0.1706753280622103)","(0.1704214667537004, 0.17150511504403798)","(0.16810978033563195, 0.17110207565286453)","(0.1698145370244102, 0.17028414277077727)","(0.1690012025541573, 0.1699877902772674)","(0.16932301282159856, 0.17126803304923008)"
Random Forest,"(0.16895001183307476, 0.16895648359985302)","(0.16793338416086914, 0.16889721310115102)","(0.16833140718727643, 0.16844675731101602)","(0.16905943915201932, 0.16862456880712196)","(0.16981308849018598, 0.1685297360091988)","(0.16953518700391235, 0.16926469019310328)","(0.16657637691865715, 0.16815040481750612)","(0.16856696473091115, 0.1689683376995934)","(0.16759421743126932, 0.16879052620348747)","(0.16987254541196936, 0.16914614919569934)"
Neural Net,"(0.1497611464968153, 0.15009661091288423)","(0.15268822537446683, 0.14966986332223)","(0.1477103036336486, 0.14948019772638366)","(0.1485084552536576, 0.15044037980535568)","(0.15152722203110572, 0.1523963062625209)","(0.15403676496432464, 0.15116347988951978)","(0.15303152928211045, 0.1511160634905582)","(0.1497253448070611, 0.14824737135338256)","(0.15244129705553486, 0.1518628717742031)","(0.14966918794524256, 0.15049965030405765)"
AdaBoost,"(0.17116385551598637, 0.16966772958427673)","(0.17208920100108327, 0.16994037387830582)","(0.16857589719744684, 0.1699522279780462)","(0.16937130412425705, 0.16834007041335247)","(0.16644081684104375, 0.1699877902772674)","(0.16822596309485272, 0.16783034412451547)","(0.16665294088580698, 0.16913429509595893)","(0.1693047718912801, 0.16926469019310328)","(0.1704328931973926, 0.16934766889128605)","(0.17230815588589796, 0.16965587548453634)"
Naive Bayes,"(0.1262264651286131, 0.12721819841392146)","(0.14565629608820843, 0.14264038217617564)","(0.13522628592200658, 0.13870482106236443)","(0.1396921467533438, 0.13789874228001756)","(0.1366367174189846, 0.13574129612726563)","(0.1360531177024154, 0.13958202444315365)","(0.13130740836123272, 0.12962458066122168)","(0.13689110895900233, 0.13438992875686057)","(0.14133121170057894, 0.14113491150914545)","(0.1409449217629087, 0.142711506774618)"
QDA,"(0.1350721197155484, 0.1350893206415439)","(0.13482390953150242, 0.13608506501973708)","(0.1375467895191477, 0.13820694887326782)","(0.13567916175186506, 0.13660664540831446)","(0.13575106477655585, 0.1357650043267464)","(0.1400329489291598, 0.13743643239014214)","(0.13741970640202117, 0.13874038336158562)","(0.1372751671139709, 0.13795801277871952)","(0.13476849993309248, 0.13550421413245772)","(0.13511701200295045, 0.13488780094595715)"
