,0,1,2,3,4,5,6,7,8,9
Decision Tree,"(0.19846316905140435, 0.19701694272198048)","(0.19632469592808038, 0.19837533353098133)","(0.2002920095566764, 0.1956815594763802)","(0.19629777600213077, 0.1964529169778663)","(0.1966671075254596, 0.19801193314591414)","(0.19696176008381353, 0.19641650164233793)","(0.20195950359242326, 0.20130701900040326)","(0.1988388969521045, 0.19580834064344815)","(0.19538866930171278, 0.19426728940942176)","(0.2010876774107972, 0.19510430626549177)"
Random Forest,"(0.219810943948875, 0.21793183624565524)","(0.21730435941874418, 0.2135802615510475)","(0.21892711216554633, 0.21716386928414685)","(0.21722995361166336, 0.21305100419699807)","(0.21189689358889624, 0.21126075925355084)","(0.21317572054721742, 0.2196852823202715)","(0.20866245392311744, 0.21664236345745752)","(0.21986563035173232, 0.21637267345994615)","(0.21911081619110817, 0.2149529386661609)","(0.22529960053262316, 0.21799947841342848)"
