,0,1,2,3,4,5,6,7,8,9
Majority Classifier,"(0.8111475409836065, 0.8048933723728351)","(0.7987098472880464, 0.8048933723728351)","(0.8007827788649706, 0.8048933723728351)","(0.8078850210970464, 0.8048933723728351)","(0.8071731074642668, 0.8048933723728351)","(0.8110434322033898, 0.8048933723728351)","(0.8043478260869565, 0.8048933723728351)","(0.811573093220339, 0.8048933723728351)","(0.8072971548998946, 0.8048933723728351)","(0.805273566249176, 0.8048933723728351)"
Nearest Neighbors,"(0.7906365071015256, 0.7900638935976008)","(0.787652379079827, 0.7823350205668631)","(0.7942743009320905, 0.7942483908059602)","(0.7801661611499406, 0.7816948991808818)","(0.7991047919957872, 0.7942958072049219)","(0.7857614581957469, 0.7908107018812456)","(0.7960596379126731, 0.7959316729690964)","(0.8033434250361985, 0.7941891203072583)","(0.7935126582278481, 0.7911544707737171)","(0.7948007389812616, 0.7941772662075178)"
Decision Tree,"(0.8230425643720441, 0.8214772579096481)","(0.8198650972093638, 0.8228049170805724)","(0.8166094533931872, 0.8226033973849856)","(0.8216030635151195, 0.8226389596842067)","(0.8260068439062911, 0.8224255858888797)","(0.830824088748019, 0.8196635806493676)","(0.816296690150206, 0.8205407840301568)","(0.8309970907167415, 0.8214061333112057)","(0.8231085199416986, 0.8198888085444351)","(0.820812317494027, 0.821655069405754)"
Random Forest,"(0.8190526177666972, 0.8214061333112057)","(0.8031266560678325, 0.8066833414336348)","(0.821111258453786, 0.8163918491210185)","(0.8173636844891476, 0.8174231557984329)","(0.8137319751289853, 0.8119465617183703)","(0.8192516197276213, 0.8187508149693572)","(0.8190815518606492, 0.8178499033890871)","(0.8172255095332018, 0.8184663165755877)","(0.8128887124520312, 0.8125866831043517)","(0.8247164336586652, 0.8217617563034175)"
Neural Net,"(0.8143008194554586, 0.817126803304923)","(0.8219051393843309, 0.8164392655199801)","(0.8236303630363037, 0.8154079588425657)","(0.82291251825302, 0.816794888512192)","(0.8224174653887114, 0.8176839459927215)","(0.8203269180068548, 0.8186204198722128)","(0.8150197628458498, 0.815775435934518)","(0.8103038309114927, 0.8120888109152551)","(0.8127311146328579, 0.8167237639137496)","(0.8141008714021652, 0.8147322751573631)"
AdaBoost,"(0.8208251473477407, 0.8167474721132304)","(0.8254593175853019, 0.821145343116917)","(0.8153337739590218, 0.8197228511480695)","(0.8126725384514263, 0.821655069405754)","(0.8173292827895918, 0.8148033997558055)","(0.8196830470102544, 0.8194383527543001)","(0.8138333112495031, 0.8176839459927215)","(0.819116677653263, 0.8164748278192012)","(0.8227764581683822, 0.8205289299304165)","(0.8270586670214182, 0.820694887326782)"
Naive Bayes,"(0.7874338624338625, 0.7883213409357627)","(0.7913546183155958, 0.7902891214926683)","(0.7848829606381588, 0.7900757476973411)","(0.7951791359325606, 0.7888666295238208)","(0.7900940272811549, 0.7897082706053888)","(0.7947598253275109, 0.7952441351841535)","(0.7991295172777632, 0.7950663236880475)","(0.7814717477003942, 0.7898860821014948)","(0.7897233201581028, 0.7891748361170711)","(0.7961126537088457, 0.7907158690833225)"
QDA,"(0.7903500721122328, 0.791901279057362)","(0.7823389651531151, 0.788511006531609)","(0.7911943052992354, 0.7924584217451606)","(0.7937968195557892, 0.791332282269823)","(0.7955917082130675, 0.7905854739861781)","(0.787301169975023, 0.7895541673087637)","(0.7959075205952697, 0.796073922165981)","(0.7903097696584591, 0.787254471959127)","(0.7786582144743793, 0.7901350181960431)","(0.7858952139714704, 0.7884398819331666)"
