,0,1,2,3,4,5,6,7,8,9
Decision Tree,"(0.8556524035921818, 0.8587908895818266)","(0.8534803400637619, 0.8580865522598703)","(0.8509634290208415, 0.8509465498642705)","(0.848496835443038, 0.8537785630432463)","(0.8497945114675859, 0.8509424338398396)","(0.8581832627118644, 0.8581032213698825)","(0.8533543389786005, 0.8543751482096277)","(0.8510303189394933, 0.8556881897604286)","(0.8588406179849465, 0.8595615522331432)","(0.8596072186836518, 0.8536871687239871)"
Random Forest,"(0.8631592932111067, 0.865258065663572)","(0.866014799154334, 0.864429912531599)","(0.8656341011384697, 0.8647911702291615)","(0.8648969889064976, 0.8629057113729581)","(0.866798418972332, 0.8646957016524811)","(0.8715135492399206, 0.8618862467104483)","(0.8650346904045032, 0.8633555837473175)","(0.8553292779687913, 0.8641266981199175)","(0.8624457022508885, 0.8642808032433201)","(0.8611736653861438, 0.8617558500675692)"
